Workout Date,Tag,Workout Header,Workout Full Details,Comments
"Wednesday, October 11th, 2023",Completed,Rest day,,
"Tuesday, October 10th, 2023",Completed,emom work and test,"A 16 mins emom:
odd: 125 meter row 
even: 30 double unders
Results: 1 - 28.2
2 - 27.5
3 - 27.3
4 - 26.7
5 - 27.1
6 - 26.7
7 - 26.9
8 - 26.5

DU we’re all ub

B 12 min emom:
10 bar facing burpee odd
10 thrusters 95lbs even
Results: Completed as rx

:30 for burpees
:20 for thrusters

C Barbell side bends:
100 reps
rest as needed
Results: ✅

","Todd Roselle: Rise at 7:05a
Todd Roselle: Feeing a little better. I think it’s a sinus infection concentrated in my ears. Did salt wash up the nose yesterday and opened the ears some. Will do again today
Jud Dean: Yes adding antimicobials antivirals antibacterial to the wash is what I do a few times a week like we saw h pylori as an example can get into ears nose throat as well 

Keep feeling bettter"
"Monday, October 9th, 2023",Completed,Workout,"A zone 1 effort 15min:

Results: Bike

B Back Squats:
10 sets of 5 reps
50%
55%
60%
65%
70%
75%
80% x 4 sets 
rest 3 mins
during rest
45 sec quad stretch
45 sec hip stretch
Results: 190
210
230
250
270
285
305 x 4

C Assault Bike:
10 sets of 20 sec max effort 60 second rest
Results: 10 min
20.0 mph
3.33 mi
75-78 on the hard :20

","Todd Roselle: Rise at 6:45a
Jud Dean: Nice lift day buddy hit that sauna my man"
"Sunday, October 8th, 2023",Missed,Workout,"A wt vest walk sauna cold splash!:

Results: 

",No comments
"Saturday, October 7th, 2023",Missed,box squat day,"A box squat wave sets:
5 reps
3 reps
1 rep
5 reps
3 reps
1 rep
5 rep
3 reps
1 reps
for a wave here is an example
5 reps 135lbs
3 reps 155 lbs
1 rep 185lbs
5 155lbs *so your 5 becomes your 3
3 reps 185lbs
1 rep find a new single
5 reps at 185
and so on!
Results: 

B Chest Supported Reverse Fly:
4 set of 12-15 reps 
rest 1 min
Results: 

C Rower sprints:
250 meter sprint
rest 1 min
x 5 sets
Results: 

D Infrared Sauna:
20 mins
Results: 

",No comments
"Friday, October 6th, 2023",Missed,mixed work,"A min 0-7:
bike 10 cals
and 10 push ups
Results: 

B min 7-10 rest:

Results: 

C min 10-20:
5 bench press
10 lunges
15 crunch
Results: 

D min 20-23 rest:

Results: 

E min 23-30:
150 meter row
5 burpee
Results: 

F min 30-33 rest:

Results: 

G min 33-40:
150 meter ski
15 kb swings
Results: 

H min 40-42 max sit ups:

Results: 

I min 42-62 sauna!:

Results: 

",No comments
"Thursday, October 5th, 2023",Missed,Workout,"A cardio and core part 1:
bike 10 cals
10 ghd sit ups
x 20 mins
Results: 

B cardio and core part 2:
10 cal ski
5 t2b
x 10 sets
Results: 

C cardio and core part 3:
250 meter row
10 row knee tucks
x 15 mins
Results: 

D Row knee tuck:

Results: 

",No comments
"Wednesday, October 4th, 2023",Missed,Workout,"A for time workout:
25 pull ups 
7 shoulder to overhead
20 ctb pull ups
7 shoulder to overhead 
15 burpee pull ups
7 shoulder to overhead
10 bar muscle ups
7 shoulder to overhead

wt 135-155 range
Results: 

",No comments
"Tuesday, October 3rd, 2023",Completed,Rest day,,
"Monday, October 2nd, 2023",Completed,Workout,"A 10 min emom:
10 back squats at 50% max
Results: 185 x 6
Had to drop
155 x 4

B Banded Glute March:
3 min work
90 sec rest
x 2 sets
Results: W yellow band

C 4 rds for time:
50 double unders
30 walking lunges 15 per leg holding dbs
50 lbs set 1 and 2
35lb dbs set 3 and 4
Results: 12:10
50s we’re harder than I remembered! Just held them, didn’t put in front rack

D ghd and ski:
150 meter ski
10 ghd sit ups
x 15 min steady pace
Results: 10 rounds steady pace

","Todd Roselle: Rise at 7:15a
Jud Dean: GreT work man glad we got to catch up and give you some action items always here to help support pal!"
"Sunday, October 1st, 2023",Completed,Rest day,,
"Saturday, September 30th, 2023",Missed,Workout,"A Snatch grip bent over row:
5-10 reps done very min on the min x 10 mins
Results: 

B 1 and a Quarter Back Squat:
5 sets of 3 
rest 2 mins between sets 

use any variation bar if you want too as well buddy
Results: 

C plyo push ups:
5 reps done every min x 10 mins
Results: 

D Dead bug with floor press:
5 sets of 10 per side
rest as needed
Results: 

",No comments
"Friday, September 29th, 2023",Missed,arms,"A standing bb curl:
12-9-7-4-4 work 5 second negaive 2 sec hold at top
rest 90 sec
Results: 

B 10degree close grip bench press on smith machine:
12-9-7-4-4 work 5 second negative 2 sec squeeze at top
Results: 

C preacher curls:
4 sets of 4-6 work 5 sec negative and 5 sec on postive so 5 sec up and 5 sec down slow motion lifts
rest 90 sec
Results: 

D standing cable curl front double bicep:
3 sets of 20
rest 1 min
Results: 

E cable french press rope supeset cable press down:
12-15 of each
rest 90 sec
x 4 sets
Results: 

F supeset 3 sets of concentration db curls superset with db tricep skull crusher:
3 sets
7 and 7
14 and 14
21 and 21
rest 60 sec between sets
Results: 

G steady state cardio 15 mins:

Results: 

",No comments
"Thursday, September 28th, 2023",Completed,Rest day,,
"Wednesday, September 27th, 2023",Completed,Workout,"A work to a 5 rm box squat:
20 mins work up to a 5 rm
Results: 365

B RNT Romanian Deadlift:
5 sets of 6-8 reps 
rest as needed
Results: 135 x2
155 x2
175

C Dumbbell Split Squat:
5 sets of 6-8 reps per leg
working 3 sec negatives
Results: 40lbs
8 reps

D KB pull through:
30 sec work
30 sec rest
x 5 sets
Results: 1.5 pood

E Crunch burner series:
10-15 reps of each
x 3 sets 
rest as needed
Results: ✅

","Todd Roselle: Competed Thursday at 6:45a rise
Jud Dean: great strengh and core buddy!!
i am playing catch up today so hopefully i can sneak in a pm workout my man!

hope you guys have a great weekend pal!"
"Tuesday, September 26th, 2023",Completed,chest and shoulders,"A low incline about 15 to 20degree db incline press:
4 workig sets of 5-8 reps 3 sec negative 2 second squeeze at top
rest 90 seconds to 2 mins
Results: 45lbs - 7 reps for all

B superset flat bench fly with incline fly:
3 working sets of 4-6 reps of each with slow tempo
4 seconds on the way down 2 second stretch 4 sec on the way up 2 sec squeeze at top
rest 60-90 seconds
Results: 20 lb db, 5 reps for each movement

C incline cable cross over fly:
standing low to high pull
3 sets of triple drop 7-7-7
rest 90 secods 
normal tempo
Results: 20/15/10

D machine side lateral raises:
3 sets of 4-6 reps tempo work
4 seconds up 2 sec hold at top 4 seconds down
rest 60 to 90 sec
Results: machine - 15lbs x 6 reps

E db side raises lean away style 1 arm at a time:
3 sets of 25-30 reps
rest 60-90 seconds
Results: 7.5lb db, 20 reps ea

F rear delt machine superset with push ups:
5 sets of 
15-20 of each
rest 60 seconds
Results: 30lbs on rear delt machine
20 reps on delt
15 push ups each time

","Todd Roselle: Rise 6:30a
Jud Dean: Hit a lift my man love it buddy build the system and keep inflammation calm and muscles growing"
"Monday, September 25th, 2023",Completed,bike,"A bike:
1 min bike at 1.75x bw in watts 
1 min bike at 1//2bw in watts so 200 lbs would mean i bike at 100 watts for 1 min
do this for 30mins
Results: 306 watts - was doing 320+
87 watts - was at about 108

10.31 mi
55 avg rpm

B Single Arm Elbow on Knee External Rotation:
4 sets of 10
Results: 10 lbs x 1
15lbs x 3 sets

C step mill or wt vest step ups:
15 mins
Results: W weight vest
55 Floors

D Rear delt on floor:
4 sets of 15-20 on each side
rest is other side working
Results: 7.5lb db
15 reps ea side

E 3 Way Ab Roll Out:
30 sec work
30 sec rest
x 6 mins
Results: ✅

","Todd Roselle: Rise at 7:15a
Jud Dean: Nice day and not too much on that shoulder buddy but fun core!!"
"Sunday, September 24th, 2023",Completed,Rest day,,
"Saturday, September 23rd, 2023",Missed,Workout,"A1 bike:
2:30
Results: 

B Ab Roll Out:
5-8 reps
Results: 

C Strict Dip:
5-8 reps
rest 1 min
x 5sets
Results: 

",No comments
"Friday, September 22nd, 2023",Completed,Workout,"A aero mix modal work:
30 cal row 
30 box jump overs
30 deadlifts 95lbs 
30 cal row 
30 db bench press 95lbs
30 walking lunges
30 cal row
Results: 13:20. Subbed deads at 100 again for bench.

B 30-20-10:
30 push ups
20 air squats
10 cal ski
rest 1 min
x 5 sets
Results: Completed w Ash in South Carolina.

",Jud Dean: Love with ash so awesome
"Thursday, September 21st, 2023",Completed,Workout,"A 15 MIN CARDIO CHOICE:

Results: Bike - 5.62 miles

B1 Walking straight leg march:
8-10
Results: 

C 15 MIN CARDIO CHOICE:

Results: Tan a mile 7:51 walked the rest

",Jud Dean: Good day good recovery flow flush needed my man easy days help us more than we think
"Wednesday, September 20th, 2023",Completed,Workout,"A wt vest hike 60-90 mins!:

Results: Completed. 60 min

",No comments
"Tuesday, September 19th, 2023",Missed,Workout,"A1 cardio choice 3 mins:

Results: 

",No comments
"Monday, September 18th, 2023",Completed,Workout,"A 12-8-4- 15 min amrap:
12 pull ups odd sets* hang pwr clean even sets 
8 thrusters all sets 
4 burpee all sets bar facing
Results: Barbell pull ups (slanted)

9 rounds total
Barbell pu ub
Thrusters ub (95 on barbell) - same w hpc's

B Forearm braced deadstop row:
10 reps per per 
rest 1 min
x 4 sets
Results: 60lbs

C Concentration Curl:
3 sets of 
5 per arm
4 per arm
3 per arm
2 per arm
1 per arm
rest 1 min
Results: 20/25/30

D Dumbbell Thruster:

Results: 

E Infrared Sauna:
20 mins
Results: 17 min at 150

","Todd Roselle: Rise for the workout 7:20a
Jud Dean: Thrusters ok on the shoulder buddy
Todd Roselle: I was feeling the shoulder on the dead stop rows after the run through of the workout. No pain during, i also wasn't popping my head all the way through at the top of the thruster. Did it with 95lb barbell
Jud Dean: Yeah if needed db maybe a better call for those or even landmine if we chat and decide to give the shoulder a break my man"
"Sunday, September 17th, 2023",Completed,Rest day,,
"Saturday, September 16th, 2023",Completed,Workout,"A 17 min amrap:
20 hand release push ups
15 deadlifts 135-155lbs
10 box jumps
5 pull up and t2b combo
so 1 pull up 1 t2b =1 rep
Results: Tough one!

135 for deads all ub
Did ring rows and lay back and instead of hanging from the bar. My shoulder is in really bad shape.

B wt vest stepmill 20 mins:

Results: ✅

","Todd Roselle: Sunday at home.
Jud Dean: once we get to chat we can make adjustment if needed on program design if shoulder needs some time off buddy!"
"Friday, September 15th, 2023",Missed,Workout,"A active recovery day tomorrow is a tough one:
going tough sat and again monday
rest recovery today

sauna ice walk rest hydrate!
Results: 

",No comments
"Thursday, September 14th, 2023",Completed,Workout,"A Snatch:
70% x3sets of 1 rep
75% x2sets of 1 rep
80% x1set of 1 rep
85% x1set of 1 rep
80% x1set of 1 rep
75% x1set of 1 rep
Results: 135
145
155
165
155
145

B Clean and Jerk:
70% x3sets of 1 rep
75% x2sets of 1 rep
80% x1set of 1 rep
85% x1set of 1 rep
80% x1set of 1 rep
75% x1set of 1 rep
Results: 170
185
195
205
195
185

C Clean Shrug:
110% x6sets of 5 reps
Results: 265

D Romanian Deadlift:
68% of clean x8sets of 5 reps
Results: 190

","Todd Roselle: Friday in the garage. 6a
Jud Dean: Good end to the week buddy nice explosive strength day pal"
"Wednesday, September 13th, 2023",Completed,Rest day,,
"Tuesday, September 12th, 2023",Completed,cardio core,"A bike and core:
bike 10 cals 
10 layback abs
x 10 sets!
core day
Results: 10:34

B Layback Abs:

Results: 

C sauna 20 mins:

Results: 

",Jud Dean: Simple and effective core and give they arm a day to chill buddy hope Cali is awesome safe travels
"Monday, September 11th, 2023",Completed,Workout,"A 5 rds for time:
400 run
15 hspu
15 ghd sit ups
15 ghd hip ext.
Results: Completed on Wednesday after returning from California

B Infrared Sauna:
20 mins
Results: 

",Jud Dean: Welcome home pal!
"Sunday, September 10th, 2023",Completed,Workout,"A vt vest hike 60-90:

Results: Traveled to California for conference and played 1 hour of pickleball

",Jud Dean: Safe travel Hope a Great conference buddy!
"Saturday, September 9th, 2023",Completed,emom work and test,"A 16 mins:
odd: 12 t2b unbroken
even: 30 double unders
Results: Did reverse crunches instead of t2b (20 each min)

B 12 min emom:
10 bar facing burpee odd
10 thrusters 95lbs even
Results: Done. ✅

C Barbell side bends:
100 reps
rest as needed
Results: ✅

","Todd Roselle: Garage at 8:30a Saturday. 
Need more of these! Good breather."
"Friday, September 8th, 2023",Completed,Workout,"A bike 30 min:
every 3 mins get off hold your breath and do 5 burpee take 2 big breaths and bike as fast as you can for 10 seconds then bike another 2min 50 at pace then go agaiin
Results: Done

B iron scap:

Results: ✅

",No comments
"Thursday, September 7th, 2023",Completed,legs and back,"A back squats 20 reps superset with pull ups wide grip amrap:
you will do 5 sets of this. try to build the wt up on the squat
rest 3 mins
Results: Couldn’t do any of this today. Hamstring was too fired up, I think from tuesdays workout. (Or beach running Monday)

B walking front rack lunges 20 reps superset bent over rows:
5 sets 
rest 2 mins
Results: 

C rack deadlifts:
7 sets of 7
build up the load
rest 1-2 mins
Results: 

D rear delt prone incline upset with upright row dbs:
15 rear delt hold the flex for 2 seconds
upright row be explosve 15 reps think more light a hang pwr clean pull
rest 2 mins
x 5 sets
Results: 

","Todd Roselle: Worked around the gym on various things I could do

Stretches too
Jud Dean: Beach surely will get it soft sand is a bear"
"Wednesday, September 6th, 2023",Completed,Rest day,,
"Tuesday, September 5th, 2023",Completed,Workout,"A core work:
oh carry bb 50 ft adjsut wt as high as you can
40 bb side bends
30 GHD sit ups
20 back ext. ghd
10 cal ski 
2 min bike recovery
2 min rest 
x 40 mins
Results: 95 on bb for carry
Empty for bends

B Infrared Sauna:

Results: 

","Todd Roselle: 5:30a at rise
Jud Dean: That tax the core well man nice work"
"Monday, September 4th, 2023",Completed,Workout,"A Pendlay Row:
5 sets of 10...
3 sets of 5....
5 sets of 3 build the wt up, 
rest 1-3 mins
Results: 95 for 10
115 for 5
135 for 3 x 2
155 for 3 x 2
165 for 3 x 1

B Single Arm Dumbbell Row:
6-8 x 3 sets rest 1 min between sets
Results: 70lb
80lb
90lb
All at 8 reps

C Seated Rear Delt Raise:
3 sets of 8-12 rest 2 mins (tempo work on these 2 sec hold at top 2 sec negative)
Results: 10 lbs, 10 reps for all

D 20-16-10-6:
-CTB pull ups
-db snatch (alternate arms so 10 per arm..8 per arm 5 per arm (50lbs) is good wt test it out see how it feels
-cal row
Results: 8:37

No chest to bar. Shoulder is not close to being able to do that. Db snatches were fine. 

Did barbell in the rack, about waist height, then grabbed it from the bottom and pulled myself to it. Reverse push up I guess. Stayed flat in my body. 

Good breather. Needed that

","Todd Roselle: Rise at 6:45a on Wednesday the 6th.
Todd Roselle: Lifeguarded my last session on Monday the 4th so did this one Wednesday of the same week
Jud Dean: very nice man enjoy local summer buddy!

smart dont over do the shoulder inflamammation is there so gotta get that down!"
"Sunday, September 3rd, 2023",Completed,Rest day,,
"Saturday, September 2nd, 2023",Completed,Workout,"A cardio and squats:
ski 10 cals
20 slant board squats
x 10 sets
Results: Done in garage. Almost 20 min

B sauna 20 mins:

Results: ✅ at 140

","Todd Roselle: 6:50a
Jud Dean: Good flush buddy enjoy this weather"
"Friday, September 1st, 2023",Completed,strengh work in aerobic event,"A pulling and pushing!!!:
1000 meter row
20 push press 
800 meter row
15 push press 
600 meter row
10 push press 
400 meter row
5 push press 
200 meter row
amrap hr push ups in 2 mins 
done

score will be time for the workout loads moved and number of pushups in the 2 mins
Results: 135 on the bar
20 - 5/5/5/5
15 - 9/6
10
5

Total time: 20:13
Push ups 34
Rowed at about 1:57/8 the whole time. 1:56 for the 1000 mtr

B Half Kneeling Arnold Press:
4 sets of 5-8 per arm
Results: 30x8
40x8
45x6 x2

C tricep press downs:
5 set of 
10-15 reps
rest 30 sec
Results: 22.5 x 15
32.5 x 15
37.5 x 10 x3

","Todd Roselle: Rise at 7:10a
Jud Dean: That is a great 20 mins of great movement buddy well done enjoy the weekend and perfect weather"
"Thursday, August 31st, 2023",Completed,Workout,"A hang squat clean:
60% x1set of 5 reps
65% x1set of 4 reps
70% x3sets of 2 reps
Results: 170
185
195

B 3 position snatch (floor, knee, mid-thigh):
65% x2sets of 1 rep
70% x3 sets of 1 rep
Results: 125
135

Warmed up the squat snatch but for these I did power

C Snatch Grip Deadlift:
100% x7sets of 2 reps
110% x5sets of 3 reps
Results: 195 for all

D Front Squat:
60% x8sets of 1 rep
65% x6sets of 1 rep
70% x5sets of 1 rep
75% x3sets of 1 rep
70% x5sets of 1 rep

work tempo on this hold bottom 2 seconds
Results: 175
190
205
225
205

E Snatch Grip Rows:
3 x 20 focus here is on the rear delts pull the elbows out not back keep in rear delt range of motion will be smaller
Results: 75 lbs

F rear delts on floor:
3 sets of 20 on each side 
rest 1 min
Results: 7.5 for all

G Reverse Hyper:
3x20 or do between sets of front squats
Results: Was out of order

","Todd Roselle: Rise at 6:45a on Thursday.
Jud Dean: Awesome strength work here buddy nice explosive work to good control work"
"Wednesday, August 30th, 2023",Completed,Rest day,,
"Tuesday, August 29th, 2023",Completed,Workout,"A map 10 20 mins movement:
bike 1 min
wall sit 30 seconds
circle curls 10 reps 
front plank reach 10 reps each rep hold for a one one thousand count 
5 breaths nasal breathing
in nose 4 sec out nose 6 seconds
then mnove back to bike
Results: Curls at 20lb
✅

B map 10 20 mins movement:
bike 1 min 
15 tate press 
15 banded kb swings 
10 stir the pot 5 each way 
5 breaths nasal breathing 
in nose 4 sec out nose 6 seconds
then move back to bike
Results: Breaths got hard
Rate press at 25lbs
Kb swing at 24kg kb

C Front Plank Reach:

Results: 

D Breathing:

Results: 

E Banded Russian Kettlebell Swing:

Results: 

F Stir The Pot:

Results: 

G Dumbbell Tate Press:

Results: 

","Todd Roselle: Rise at 6:45
Jud Dean: These are my favorite days"
"Monday, August 28th, 2023",Completed,leg focus,"A 3 style press:
70% x3sets of 2 reps ( a rep is a strict press a push press a push jerk)
75% x3sets of 3 reps ( a rep is a strict press a push press a push jerk)
Results: 105 and 115

B GHR.:
5sets of 5 reps
rest 1 min add band reistance or wt if u can buddy
Results: ✅ didn’t add weight.

C Behind the Neck Snatch Grip Push Press:
75% x5sets of 5 reps
Results: 65
85
95
115x2

D Back Squat:
65% x5 sets of 1 rep
70% x5sets of 1 rep
75% x4sets of 1 rep
80% x3sets of 2 reps
Results: 240
255
275
290

E Walking Overhead Lunges:
5 sets of 30 ft. use a barbell try to build up to a heavy load over the sets
rest 2 min between sets
Results: 95 x2
115 x3

F 100 band leg curls:

Results: Blue thin

G Banded reverse crunch:
30 sec work
30 sec rest
x 5 mins
Results: Blue thin

","Todd Roselle: Rise at 7:15a
Jud Dean: Very nice work did GHr yesterday and hams are feeling it today buddy"
"Sunday, August 27th, 2023",Completed,Workout,"A suicide 4 lines no in and out this week:
set up 4 lines on the beach
these lines are water line * so you have to start here returning to water line mans your feet touch the water.
line 1 is water line 
line 2 is 15 yards forward of water line 
line 3 is 25 yards fowrd of water line
line 4 is dune line 

the workout is 
run water line to line 2 ( at line 2 do 10 push ups)
run back to water line
run to line 3 ( at line 3 do 10 sit ups)
run back to water line
run to line 4(at line 4 do 10 air squats)
no rest this week just keep it 
rollilng but no swiming either so will keep it more like an amrap and use the pt at each line to recover hr
Results: Done on the beach

B emom in wt vest:
min 1 10-15 push ups 
min 2 10-20 walking lunges 
min 3 side plank 20 sec per side 
x 24 mins 
wt vest though this time my man since you didnt have it down last time
enjoy
Results: Done on the beach

C Walk cool down 20 mins:

Results: 10 min walk. 10 min in the surf. Strong today

","Todd Roselle: Beach at 8:30a
Jud Dean: Cannot beat this kind of day"
"Saturday, August 26th, 2023",Completed,Rest day,,
"Friday, August 25th, 2023",Completed,Workout,"A Running intervals:
200 meter walk
200 meter jog like 5 k pace
200 meter run like 1 mile goal pace
x 5 sets
Results: 18:40 total time.

B bike interavls:
15 sec hard effort like 8/9 out of 10
45 sec easy ride 
x 15 mins
Results: After round 5 I had to dig. The push was all 85+ rpm

C Side plank agitation:
30 reps per side
x 4 sets
Results: ✅

","Todd Roselle: Rise at 7:30a
Jud Dean: Great engine day man"
"Thursday, August 24th, 2023",Completed,Workout,"A1 KB pull through:
10 REPS 5 EACH WAY
Results: 24kg

B Over the KB push up:

Results: ✅

C strengh decline db fly and close bench press:
16 db fly
8 close grip bench
rest 2 mins
x 4 sets
Results: 15lb on fly
135 on bench

","Todd Roselle: Rise at 7a
Jud Dean: Getting that core buddy"
"Wednesday, August 23rd, 2023",Completed,Rest day,,
"Tuesday, August 22nd, 2023",Completed,Workout,"A step up to back step lunge:
5 sets of 6-8 per leg
hold dbs build up the load each set slightly
rest 60 sec between legs
Results: 40lb db - 8 reps
45s - 7
50s - 6
55s x last 2 sets - 6

B Hand Braced Row:
5 sets of 6-8 per arm
rest 45 sec between arms
build up load
sets 1-2 warm up
sets 3-5 get after it
Results: 55lb db x 8
70 x 8
90 x 8
100 x 8
100 x 6

C single leg ext:
12-15 per leg
rest 20 sec between legs
x 3 sets
Results: 45lbs x 12 reps x 2 sets
55lbs x 12 x 1

D Banded single leg RDL:
5-8 per leg
rest 60 sec between sets
Results: did 3 sets here

Green band. All 8 reps ea side

E 3 sets of squat press thruster run:
400 meter run
18 db squats
50 yard farmer carry
400 meter run
18 db push press
50 yard farmer carry
400 meter run
18 db thrusters
50 yard farmer carry
400 meter run

*this can be a seperate session
like a beach am session seperate from the strengh focus
Results: Another day

",Todd Roselle: Rise at 6:30a
"Monday, August 21st, 2023",Missed,Workout,"A sustainable work so start at 30 but extend the rest as needed to stay smooth:
5-7 hspu
10 pistol squat 5 per leg
1-2 bar muscle up 
10 sit ups 
rest 30-90 sec
x 30 mins
Results: 

B BIKE FOCUS:
30 SEC @97%
REST 4:30
X 4 SETS 
THEN 5 MIN WALK
5 MIN SELD WALK
5 MIns WALK
X 2 SETS OF THIS
Results: 

C END WITH 20 MIN ZONE 1 EAZY FLUSH BIKE:

Results: 

",No comments
"Sunday, August 20th, 2023",Completed,Rest day,,
"Saturday, August 19th, 2023",Completed,open style burner,"A 3 mins work 1 min rest between stations:
3 mins amrap
15 snatch 65lbs
5 bar facing burpee
rest 1
3 mins amrap
15 hang clean 65lbs
30 doubles
rest 1 min
3 mins armrap
15 ohs 65lbs
8 CTB pull ups
rest 1 min
3 mins amrap
8 thrusters 65lbs
4 bar facing burpee
rest 10 mins
start over and do it all again at 75lbs
Results: Done Monday (not Saturday)

65lbs on the bar
1 - 2+10
2 - 2 + 30
3 - 2 + 4 (couldn’t really do the pull ups. Too much pain in right shoulder)
4 - 3+3

75lbs
2+3
3
2+6 - switched to push ups in 2nd set
3+4

B bike zone 1 work with quick hits:
21 mins just bike and chill
every 3 min get off and do 15 sec max effrot burpee with no arms overhead jump so turn over is going to be very fast
down push ups pop in little jump right back down
Results: ✅

","Todd Roselle: Rise, Monday 5:30a
Jud Dean: glad we are hitting that test for you buddy get some of this inflammation down pal see if there is a driver!"
"Friday, August 18th, 2023",Completed,strength work,"A 16 min emom:
3-5 close grip bench odd (70-80%
2-4 tng power clean 65-75%
Results: 175 bench
5 rounds w 3 reps
3 rounds w 4 reps

205 power clean
5 rounds w 3 reps
3 rounds w 4 reps

B doubles and t2b 16 mins:
odd 30 doubles
even 8-12 t2b
Results: 8t2b unbroken. Right shoulder was tender but I got through them w no big pain.

C 150 row x 16 mins:
emom 150 meters
Results: Got to 8/9 rounds and my low back started to tighten.  Did 11

32.6
31.2
31.9
32.1
32.2
32.8
32.7
33.1
33.2
34.1
33.9

","Todd Roselle: Rise at 6:50a
Jud Dean: That part A is a personal Al favorite man nice work buddy"
"Thursday, August 17th, 2023",Completed,Workout,"A Muscle snatch:
60% x1set of 5 reps
65% x1set of 4 reps
70% x3sets of 2 reps
Results: 60% done at 65lbs
65% done at 85lbs
70% done at 95lbs

B 3 position clean (floor, knee, mid-thigh):
65% x2sets of 1 rep
70% x3 sets of 1 rep
Results: 65% done at 155
70% done at 185

C Clean Grip Deadlift:
100% x7sets of 2 reps
100% x5sets of 3 reps
Results: All done at 275
Ouch

D Front Squat:
60% x8sets of 1 rep
65% x6sets of 1 rep
70% x5sets of 1 rep
75% x3sets of 1 rep
70% x5sets of 1 rep

work tempo on this hold bottom 2 seconds
Results: 60% - 175
65% - 190
70% - 205
75% - 225
70% - 205

E run work:
3x 800 meter repeats done at 1 mile goal pace
use set 1 as aw arm up
rest 3 mins
Results: X
Left Achilles too tender

F rear delts on floor:
5 sets of 20 on each side 
rest 1 min
Results: Round 1 - 10lb db
2 - 7.5 db
3-5 - 5lb db

G powell raises:
4 sets of 8-10 reps 
rest 1 min
Results: 10 lb db

H Over bench leg lift touches:
30 sec work
30 sec rest 
x 5 mins
Results: ✅

","Todd Roselle: Done on the correct day 7a at rise
Jud Dean: Dead’s look great there you can throw in some straps on some pull days too to help get more post chain focus and a little less grip but that is solid double overhand man love it"
"Wednesday, August 16th, 2023",Completed,Rest day,,
"Tuesday, August 15th, 2023",Completed,Arms and aerobic,"A 10 to 1:
10 to 1 of
Push ups in rings
L pull ups
Results: Done

Couldn’t do the L pull ups. Too much pressure eon right shoulder. Did reg strict.

B Biceps all with 3 sec negatibe:
12 bb curls reverse grip
12 hammer curls 
12 bench dips feet elevated 
12 tate press
12 burpee
2 min bike 
Do this 5 times
Results: BB rev curl - 50 lb bar
Hammer - 20lb dbs
Tate - 20lb db
✅

C Infrared Sauna:
20 mins
Results: ✅

","Todd Roselle: Rise at 7a
Jud Dean: That darn shoulder man you may want to try them on rings see if that helps your shoulder at all"
"Monday, August 14th, 2023",Completed,Workout,"A 10-10-10-10:
10 alt db snatch 5 per side 
10 ohs with db 5 per side 
10 single arm push press 5 per side 
10 cal row
rest 1 min
x 6 sets
Results: Damper at 7.5

1:53
1:48
1:47
1:47
1:49
1:47

B 5-10-15-30 part 2:
5 glute ham raises
10 heavy kb swings 
15 box jump step down 
30 double unders 
rest 2 mins walking
x 5 sets
Results: Left Achilles is sore, after two rounds switched to 30 box step ups at 20 instead of box jumps and du

1:46
1:46
—
2:11
2:03
2:00

C ski intervals:
150 meter ski
rest 20 seconds
x 5 sets
Results: 34.2
33.4
34.4
34.3
33.1

Damper at 8, almost 9

","Todd Roselle: Rise at 6:30a
Jud Dean: great intervals hitting those 2 to 1 work to rest that is pretty!

keep rolling out that bottom of those feet man!"
"Sunday, August 13th, 2023",Completed,Workout,"A vt vest hike 60-90:

Results: 65 min. Done in neighborhood. Mixed in backward walking too. Felt good

","Jud Dean: Awesome can help the low back for sure 
Backwards sled walk is amazing for the quads cheap man’s leg ext a favorite for sure 

Have a great weekend"
"Saturday, August 12th, 2023",Missed,Workout,"A Hamstring Walkout:

Results: 

B Couch Stretch 2:

Results: 

C Twister:

Results: 

D Bent Knee Calf Stretch:

Results: 

E Couch Stretch:

Results: 

",No comments
"Friday, August 11th, 2023",Missed,Workout,"A Cobra Stretch:

Results: 

B V-Sit Stretch with Wall:

Results: 

C Lizard Stretch:

Results: 

D Instep Stretch:

Results: 

E Hurdler Stretch:

Results: 

",No comments
"Thursday, August 10th, 2023",Completed,Rest day,,
"Wednesday, August 9th, 2023",Missed,Workout,"A Nationals have a blast:

Results: 

",No comments
"Tuesday, August 8th, 2023",Completed,Workout,"A barbell complex:
3-5 hang pwr clean
3-5 bent over rows
3-5 RDL
3-5 push press/push jerk
done on the 2 mins
x 6
Results: 95/5
115/3
115/5
135/3
135/5

B 4rds for time of:
400 meter run
500 mete row
10 t2b
15 ab roll outs
Results: Did 3 rounds at rise on the air runner (350=400mtr) - Achilles started to tighten up

20:59

Was able to do t2b but they were bad. core is weak.

C right into 15 min emom:
every min on the min 
front rack kb db or barbell carry
100 ft
Results: 53lb kbs

120 ft for rounds 1-4
100 ft for rounds 5-15

","Todd Roselle: At rise at 6:45a
Jud Dean: Solid work buddy 
Sand running def effects the lowe legs a lot 

Roll out the feet a lot"
"Monday, August 7th, 2023",Completed,Workout,"A wt vest hike 60-90 mins!:

Results: Done in neighborhood. 60

",Jud Dean: Solid day nice to be able to walk where you live and enjoy it buddy
